TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
138255,Acer rubrum :: Red Maple,1400x DIVISADERO ST,Median : Cutout,3,Width 0ft,37.78265816,-122.4393531
9801,Platanus x hispanica :: Sycamore: London Plane,1010 Gough St,Sidewalk: Curb side : Cutout,40,3X3,37.78265073,-122.4240137
12350,Tristania conferta ::,1280 Laguna St,Sidewalk: Curb side : Cutout,3,4x4,37.78264903,-122.4274207
13838,Platanus x hispanica :: Sycamore: London Plane,973 Market St,Sidewalk: Curb side : Cutout,45,4X4,37.78264506,-122.4095706
13844,Platanus x hispanica :: Sycamore: London Plane,984 Market St,Sidewalk: Curb side : Cutout,40,4x4,37.78262728,-122.4099866
16787,Pittosporum undulatum :: Victorian Box,1979 O'Farrell St,Sidewalk: Curb side : Cutout,10,4x4,37.78262473,-122.4372899
9805,Platanus x hispanica :: Sycamore: London Plane,1015X Gough St,Sidewalk: Curb side : Cutout,36,3X3,37.78261789,-122.4242243
6275,Ulmus pumila :: Siberian Elm,1421X Ellis St,Sidewalk: Curb side : Cutout,12,4X4,37.78261221,-122.429982
5861,Platanus x hispanica :: Sycamore: London Plane,964 Eddy St,Sidewalk: Curb side : Cutout,12,3X3,37.7826091,-122.4235619
19270,Pittosporum undulatum :: Victorian Box,1989X O'Farrell St,Sidewalk: Curb side : Cutout,12,4X4,37.78260522,-122.4374651
85675,Acer rubrum 'Red Sunset' :: Red Swamp Maple,427 Bryant St,Sidewalk: Curb side : Cutout,3,3x3,37.78258707,-122.394157
1523,Pittosporum undulatum :: Victorian Box,431 Arguello Blvd,Sidewalk: Curb side : Cutout,30,3X3,37.78255912,-122.459078
